trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
137,False,"{'a': 0.5, 'e': 0.06587475442640295}",30,7,23.550969710806697,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.06457034689316847}",30,0,20.756898638020264,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
139,False,"{'a': 0.5, 'e': 0.0632917683596407}",35,23,19.131112523692067,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.06203850737735829}",20,0,26.376939775041073,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
141,False,"{'a': 0.5, 'e': 0.06081006262521795}",30,1,38.17696224198581,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.05960594270893937}",25,0,2.239249763504888,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
143,False,"{'a': 0.5, 'e': 0.05842566596450083}",25,14,8.316278319893094,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.05726876026546736}",20,8,19.380654263491802,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.056134762834133725}",20,0,-36.38173571901289,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
146,False,"{'a': 0.5, 'e': 0.05502322005640723}",20,4,29.521492850948217,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.05393368730035602}",20,0,0.7775493827567623,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
148,False,"{'a': 0.5, 'e': 0.05286572873835037}",20,15,9.314118143397813,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.05181891717272583}",20,3,23.264184991187356,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.0507928338648985}",20,15,8.870290796554578,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.049787068367863944}",25,11,27.30096503895612,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.04880121836201296}",20,0,25.889231111150348,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
153,False,"{'a': 0.5, 'e': 0.04783488949419837}",20,0,11.886684179732532,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
154,False,"{'a': 0.5, 'e': 0.046887695219988486}",30,19,17.016360456158864,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.045959256649044204}",20,0,26.276087968610113,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
156,False,"{'a': 0.5, 'e': 0.0450492023935578}",20,12,16.049897701968472,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.04415716841969286}",30,6,34.56301498604893,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.043282797901965896}",20,7,3.7575876802745816,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.042425741080511385}",30,8,11.761852645335935,"{0: 20, 1: 1, 2: 0, 3: 1, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.04158565512117316}",30,13,36.562705625958195,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.04076220397836621}",30,15,8.0102277163968,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.039955058260653896}",20,13,13.032430201263095,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.039163895098987066}",25,13,19.08320297929302,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.038388398017552054}",20,13,-9.19043365130107,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.0376282568071762}",20,15,10.897059201021207,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.036883167401239994}",25,10,23.36556405841768,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.03615283175404641}",30,23,10.755180071145045,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.03543695772159864}",25,12,19.67729964417276,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.03473525894473856}",20,8,-33.621906365691586,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
170,False,"{'a': 0.5, 'e': 0.034047454734599344}",20,14,10.067629010505298,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.03337326996032608}",30,9,25.19995599583843,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.03271243493901982}",20,14,12.922949997435515,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.03206468532786077}",20,0,27.786201254705283,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
174,False,"{'a': 0.5, 'e': 0.03142976201836771}",20,10,16.022013690985794,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.030807411032751076}",20,12,14.89862268953688,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.0301973834223185}",20,0,29.36518140876079,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.029599435167892}",25,15,13.607744421227153,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.029013327082197053}",25,14,7.382692885663991,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.028438824714184505}",25,0,25.647508306867635,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
180,False,"{'a': 0.5, 'e': 0.027875698255247015}",30,6,35.72168558882025,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.02732372244729256}",20,11,17.021759623956715,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.026782676492638175}",25,19,13.57525550332358,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
